03/11/2023 17:52:17 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:52:25 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:52:48 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:52:56 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:04 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:12 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:19 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:27 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:34 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:41 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:49 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:53:57 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:54:05 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:54:13 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:54:21 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:54:29 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:54:37 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
