TRIBUNAL trf4 | PROCESSO ---> 5015485-66.2011.4.04.7001/PR
TRIBUNAL trf4 | PROCESSO ---> 5015485-66.2011.4.04.7001/PR
TRIBUNAL trf4 | PROCESSO ---> 0001302262018.8.16.0127/PR
TRIBUNAL trf4 | PROCESSO ---> 5013042-08.2017.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5013042-08.2017.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5019468-95.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5019468-95.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5096575-12.2019.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5096575-12.2019.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5003523-61.2017.4.04.7122/RS
TRIBUNAL trf4 | PROCESSO ---> 5009599-46.2012.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5001031-94.2020.4.04.7121/RS
TRIBUNAL trf4 | PROCESSO ---> 5045930-89.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5000100-42.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5000100-42.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5041930-46.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5041930-46.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5038597-57.2017.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5038597-57.2017.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5049583-36.2018.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5035853-84.2020.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5058754-22.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5058754-22.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5004234-74.2018.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5004234-74.2018.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5001251-61.2017.4.04.7133/RS
TRIBUNAL trf4 | PROCESSO ---> 5007757-47.2020.4.04.7004/PR
TRIBUNAL trf4 | PROCESSO ---> 5008750-90.2020.4.04.7004/PR
TRIBUNAL trf4 | PROCESSO ---> 5003239-14.2020.4.04.7004/PR
TRIBUNAL trf4 | PROCESSO ---> 5000055-51.2020.4.04.7133/RS
TRIBUNAL trf4 | PROCESSO ---> 5000055-51.2020.4.04.7133/RS
TRIBUNAL trf4 | PROCESSO ---> 5019892542022.8.24.0045/SC
TRIBUNAL trf4 | PROCESSO ---> 5000435-24.2021.4.04.7106/RS
TRIBUNAL trf4 | PROCESSO ---> 5013845-46.2021.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5013845-46.2021.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 0002885722018.8.16.0183/PR
TRIBUNAL trf4 | PROCESSO ---> 5016882-11.2021.4.04.7002/PR
TRIBUNAL trf4 | PROCESSO ---> 5016882-11.2021.4.04.7002/PR
TRIBUNAL trf4 | PROCESSO ---> 5001061-09.2018.4.04.7119/RS
TRIBUNAL trf4 | PROCESSO ---> 5003116-25.2021.4.04.7119/RS
TRIBUNAL trf4 | PROCESSO ---> 5003116-25.2021.4.04.7119/RS
TRIBUNAL trf4 | PROCESSO ---> 5009496-62.2019.4.04.7110/RS
TRIBUNAL trf4 | PROCESSO ---> 5000225-87.2019.4.04.7123/RS
TRIBUNAL trf4 | PROCESSO ---> 5000225-87.2019.4.04.7123/RS
TRIBUNAL trf4 | PROCESSO ---> 5002207-10.2021.4.04.7110/RS
TRIBUNAL trf4 | PROCESSO ---> 5012534-33.2015.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5012534-33.2015.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 0301069802018.8.24.0046/SC
TRIBUNAL trf4 | PROCESSO ---> 0300643392016.8.24.0046/SC
TRIBUNAL trf4 | PROCESSO ---> 5000691532021.8.21.0091/RS
TRIBUNAL trf4 | PROCESSO ---> 5002272-19.2018.4.04.7204/SC
TRIBUNAL trf4 | PROCESSO ---> 5002272-19.2018.4.04.7204/SC
